iter	MultiClassOneVsAll
0	0.6449047596
1	0.6133787329
2	0.5918487868
3	0.5730042964
4	0.5578116971
5	0.5465016272
6	0.5366792551
7	0.5262637288
8	0.5182636529
9	0.5113348398
10	0.5048082748
11	0.4987838129
12	0.4930361532
13	0.4876116423
14	0.4840231127
15	0.4790657625
16	0.4758758773
17	0.4712060036
18	0.4669409782
19	0.4631848072
20	0.4600618417
21	0.4560743483
22	0.453047406
23	0.4502816649
24	0.4491109121
25	0.4472415394
26	0.4444321431
27	0.4419173396
28	0.4392471199
29	0.4374191672
30	0.436125158
31	0.4334891053
32	0.4314524561
33	0.4300584551
34	0.4282523071
35	0.4254721968
36	0.4233212777
37	0.4208655022
38	0.4201477689
39	0.4193518942
40	0.4169824711
41	0.4163291943
42	0.4142946434
43	0.4137164516
44	0.4126245701
45	0.4114212013
46	0.4091446083
47	0.4078149268
48	0.4073571175
49	0.4060959068
50	0.4045500477
51	0.4033906078
52	0.4023083058
53	0.4013326557
54	0.400150818
55	0.3992811354
56	0.3984162426
57	0.3978385982
58	0.3968634042
59	0.3962412379
60	0.3951631783
61	0.3938796153
62	0.3923835697
63	0.3914088775
64	0.3907788195
65	0.3900630478
66	0.3894573035
67	0.389125077
68	0.3882844979
69	0.3875194145
70	0.3870838205
71	0.3861085353
72	0.3851510862
73	0.3836545844
74	0.383076119
75	0.3823023227
76	0.3818206103
77	0.381019444
78	0.3805634138
79	0.3798112171
80	0.3795249038
81	0.378745702
82	0.3780461013
83	0.3775078242
84	0.3768939145
85	0.3758959806
86	0.3750519118
87	0.3747738324
88	0.3740043013
89	0.3733916689
90	0.3727372516
91	0.3723866872
92	0.3712444904
93	0.370317194
94	0.3699567992
95	0.3696906028
96	0.3694187957
97	0.3685101793
98	0.3680910301
99	0.3673643104
100	0.366575894
101	0.3662675935
102	0.3658985315
103	0.3656974758
104	0.3652726018
105	0.3643759142
106	0.3633038075
107	0.3629672702
108	0.3623872766
109	0.3620840623
110	0.3617086596
111	0.3612875033
112	0.3608877869
113	0.3604449627
114	0.3593012378
115	0.3587609307
116	0.3584245531
117	0.3580571561
118	0.3579068034
119	0.3575746225
120	0.3569966132
121	0.3567124668
122	0.3563675816
123	0.3557806771
124	0.3553385827
125	0.3550579259
126	0.3539760344
127	0.3536748501
128	0.353250341
129	0.3528191491
130	0.3521707076
131	0.3516960885
132	0.3514017695
133	0.3511184213
134	0.3507793523
135	0.3503778797
136	0.3499503371
137	0.3497341367
138	0.3493119997
139	0.3489759414
140	0.3485513411
141	0.3481435505
142	0.3476748844
143	0.3464422525
144	0.3462641421
145	0.3455249005
146	0.3453359561
147	0.345125914
148	0.3448225172
149	0.3445707358
150	0.343871158
151	0.3437259828
152	0.34345283
153	0.3423921046
154	0.3417674978
155	0.3413137941
156	0.3411054169
157	0.3408529969
158	0.3401247489
159	0.3391439669
160	0.3386630527
161	0.338508663
162	0.3383309631
163	0.3381807929
164	0.3380899244
165	0.337463014
166	0.3369074937
167	0.3363165064
168	0.3360899054
169	0.3359211008
170	0.3356265309
171	0.3353120949
172	0.3350586485
173	0.3345862647
174	0.3344536569
175	0.3343405503
176	0.3340277565
177	0.3339179115
178	0.3335285044
179	0.333239112
180	0.3330200606
181	0.3328987201
182	0.3326778212
183	0.3320799686
184	0.3311640764
185	0.3308894638
186	0.3307114218
187	0.3304568349
188	0.330353764
189	0.3297963506
190	0.3292558838
191	0.3284975745
192	0.3283414057
193	0.3281512296
194	0.3280448514
195	0.3278170644
196	0.3275797435
197	0.3273473263
198	0.3271426214
199	0.3267714838
200	0.3266071953
201	0.3259627908
202	0.325607391
203	0.3254574489
204	0.3253616994
205	0.325146457
206	0.3245755183
207	0.3243953323
208	0.324283731
209	0.3237240824
210	0.3235230268
211	0.3232618711
212	0.3231183609
213	0.3228944057
214	0.3227127144
215	0.3224392422
216	0.3221769917
217	0.3216787204
218	0.3206503373
219	0.320423896
220	0.3202258967
221	0.3200003905
222	0.3198631754
223	0.3197321414
224	0.3194320291
225	0.3193269282
226	0.3191305255
227	0.3188581253
228	0.318555504
229	0.3183377755
230	0.317812271
231	0.317683381
232	0.3173625359
233	0.3170992818
234	0.3163807046
235	0.3161144399
236	0.3158990378
237	0.3157190799
238	0.3156082997
239	0.3155091518
240	0.3154423005
241	0.3152300916
242	0.3150958188
243	0.314983214
244	0.314885617
245	0.314720781
246	0.3146183031
247	0.3145626051
248	0.3143871404
249	0.3141097908
250	0.3139381808
251	0.3138503914
252	0.3137113517
253	0.3133533746
254	0.3132997293
255	0.3127921066
256	0.3126102556
257	0.3123887408
258	0.3123137698
259	0.3120554652
260	0.3119341019
261	0.311854113
262	0.3117497876
263	0.3116023088
264	0.3110164306
265	0.3108172224
266	0.309870402
267	0.3097564743
268	0.3096419763
269	0.3093996832
270	0.3092830413
271	0.309094918
272	0.3088666063
273	0.3087558262
274	0.3086107878
275	0.3083426756
276	0.3081640862
277	0.3078687408
278	0.307719118
279	0.3074203514
