iter	Passed	Remaining
0	218	112939
1	441	114109
2	656	112842
3	890	114712
4	1095	112631
5	1303	111418
6	1537	112491
7	1751	111875
8	1956	110875
9	2169	110438
10	2371	109542
11	2571	108652
12	2773	107969
13	2972	107215
14	3183	106949
15	3391	106614
16	3595	106179
17	3794	105611
18	4000	105275
19	4193	104617
20	4389	104097
21	4584	103558
22	4790	103308
23	4986	102846
24	5184	102446
25	5386	102128
26	5592	101916
27	5788	101499
28	5976	100990
29	6180	100740
30	6382	100467
31	6583	100196
32	6784	99912
33	6977	99528
34	7169	99148
35	7369	98876
36	7566	98571
37	7762	98254
38	7965	98040
39	8165	97787
40	8370	97592
41	8567	97307
42	8762	96999
43	8957	96703
44	9162	96511
45	9369	96340
46	9566	96073
47	9768	95858
48	9969	95628
49	10167	95368
50	10360	95070
51	10561	94849
52	10756	94572
53	10947	94272
54	11138	93967
55	11331	93688
56	11535	93499
57	11730	93234
58	11926	92989
59	12114	92673
60	12323	92526
61	12527	92338
62	12715	92035
63	12912	91801
64	13107	91552
65	13309	91353
66	13502	91094
67	13696	90842
68	13884	90553
69	14074	90275
70	14263	89998
71	14461	89780
72	14659	89564
73	14848	89290
74	15045	89067
75	15240	88836
76	15429	88566
77	15627	88354
78	15828	88157
79	16024	87932
80	16221	87714
81	16419	87504
82	16628	87348
83	16822	87118
84	17014	86874
85	17212	86664
86	17410	86451
87	17602	86214
88	17807	86037
89	18004	85823
90	18203	85618
91	18399	85398
92	18599	85195
93	18789	84952
94	18982	84721
95	19177	84500
96	19381	84321
97	19579	84112
98	19783	83928
99	19983	83732
100	20180	83517
101	20378	83313
102	20586	83145
103	20807	83029
104	21017	82868
105	21228	82709
106	21433	82528
107	21629	82310
108	21823	82089
109	22015	81858
110	22209	81633
111	22406	81422
112	22592	81172
113	22783	80940
114	22981	80734
115	23178	80524
116	23373	80309
117	23571	80102
118	23771	79902
119	23956	79655
120	24156	79455
121	24353	79248
122	24555	79056
123	24747	78833
124	24942	78619
125	25135	78398
126	25331	78187
127	25521	77960
128	25713	77737
129	25902	77508
130	26096	77292
131	26288	77071
132	26481	76856
133	26677	76646
134	26868	76427
135	27060	76208
136	27261	76014
137	27460	75814
138	27655	75604
139	27849	75391
140	28039	75168
141	28237	74969
142	28429	74751
143	28619	74529
144	28811	74314
145	29005	74104
146	29204	73904
147	29404	73708
148	29601	73507
149	29801	73312
150	30007	73131
151	30201	72920
152	30386	72689
153	30590	72502
154	30788	72302
155	30988	72108
156	31188	71913
157	31387	71715
158	31589	71522
159	31783	71314
160	31969	71088
161	32167	70888
162	32373	70705
163	32572	70508
164	32776	70320
165	32968	70108
166	33165	69905
167	33375	69731
168	33568	69519
169	33767	69323
170	33954	69100
171	34150	68896
172	34342	68685
173	34538	68482
174	34733	68276
175	34927	68068
176	35124	67867
177	35314	67653
178	35516	67461
179	35707	67249
180	35899	67038
181	36092	66831
182	36285	66622
183	36478	66414
184	36672	66208
185	36870	66009
186	37067	65809
187	37257	65596
188	37459	65405
189	37651	65196
190	37842	64986
191	38035	64778
192	38227	64570
193	38422	64368
194	38617	64165
195	38813	63962
196	38999	63744
197	39190	63536
198	39391	63343
199	39594	63152
200	39791	62954
201	39989	62755
202	40188	62559
203	40384	62358
204	40580	62157
205	40776	61956
206	40970	61753
207	41160	61543
208	41362	61350
209	41568	61165
210	41771	60974
211	41980	60792
212	42184	60603
213	42386	60410
214	42585	60214
215	42794	60031
216	42999	59842
217	43206	59656
218	43414	59471
219	43617	59280
220	43818	59085
221	44014	58884
222	44204	58674
223	44403	58477
224	44603	58281
225	44799	58081
226	44991	57873
227	45192	57679
228	45391	57482
229	45588	57282
230	45781	57077
231	45981	56882
232	46184	56690
233	46388	56498
234	46587	56301
235	46787	56105
236	46979	55899
237	47176	55700
238	47372	55498
239	47571	55302
240	47768	55102
241	47966	54904
242	48167	54708
