text,date,from,photo,file_name
,2024-03-20T23:41:10,,,
,2024-03-20T23:41:11,,photos/photo_1@20-03-2024_23-41-11.jpg,
"Мир Маньяков  🔪 - собрали для самых жестоких маньяков - людей , на которых бы вы никогда не подумали 👄👄👄

Больше красивых и жестоких маньяков смотри тут: https://t.me/+vAYyRN52F6E4YzYy",2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_2@20-03-2024_23-44-51.jpg,
,2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_3@20-03-2024_23-44-51.jpg,
,2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_4@20-03-2024_23-44-51.jpg,
"Отзывы с WB - авторский канал, где собраны все еб*нутые и угарные отзывы с маркетплейсов

Ещё больше про неадекватных продавцов и всратую рекламу маркетологов Вы найдете на канале - @otzivi_wb",2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_5@20-03-2024_23-44-51.jpg,
"«Мать троих идей» — сюда заходят поглазеть на гениальную, а порой и кринжовую рекламу тематики 18+

Голые студентки в промо школьных рюкзаков, секс с BMW, фейковое окончание в шаурму вместо соуса — вся откровенная реклама в одном месте, подписывайтесь: @motherideas",2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_6@20-03-2024_23-44-51.jpg,
,2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_7@20-03-2024_23-44-51.jpg,
,2024-03-20T23:44:51,Рекламы хуйни для нейронки,photos/photo_8@20-03-2024_23-44-51.jpg,
"давайте все дружно поблагодарим альбомы для души, потому что они спонсоры моего альбомного безумия 

если бы не они, то кто бы еще присылал мне столько альбомов, чтобы я потом в ахуе сидела?",2024-03-20T23:44:51,Рекламы хуйни для нейронки,,
"🔥Скидка 50%: прокачай свои оценки с подпиской на экосистему Кампус.

Оформи подписку до 31 марта за 150 руб. на первый месяц. 
С ней ты получишь:

🔹 2 запроса в Кампус Библиотеку:
Здесь собраны готовые решения заданий и необходимые знания для твоих успехов в учёбе. 
 
 🔹10 токенов на использование Искусственного интеллекта Кампус:
Задай ему любой вопрос по учебе или попроси решить задачу – он быстро справится! 
 
🔹 100% кешбек при обращении к Кампус Экспертам:
15 000 проверенных экспертов, которые помогут тебе с учёбой и студенческими работами. 

Забудь про:

❌ Бессонные ночи за решением задач или написанием работ;

❌ Попытки часами найти в интернете нужную информацию;

❌ Неподходящие и неправильные ответы.

Хочешь сэкономить свои время и нервы? 
Тогда самое время узнать, как легко учиться с Кампус!",2024-03-20T23:46:07,Рекламы хуйни для нейронки,photos/photo_9@20-03-2024_23-46-07.jpg,
"Разыгрываем 150.000₽ за подписку на канал🔥

Сумма эквивалентна новому айфону с наушниками или поездке на отдых. Выбирайте сами на что потратить!

Для участия нужно подписаться на каналы @bussideas и @hmoffice и нажать кнопку «Я участвую!» под постом.

Итоги конкурса подведём 6 апреля в 17:00 при помощи бота. Он случайным образом выберет победителя и мы свяжемся для перевода приза.

⚠️Если счетчик завис — не переживайте! Бот зарегистрирует ваше участие, если все условия выполнены и вы нажали кнопку.

Вперёд к победе!👇🏻",2024-03-20T23:47:37,Рекламы хуйни для нейронки,photos/photo_10@20-03-2024_23-47-37.jpg,
"Разработчики телеграм-бота Kandinsky выкатили большое обновление — в бот добавили различные полезные фичи, благодаря которым контролировать процесс генерации стало в разы проще. 

Например, теперь есть настройка даже негативных промптов (описание того, чего не должно быть на пикче). 

Чтобы получить доступ к обновленной версии, нужно нажать на кнопку /start.",2024-03-20T23:48:50,Рекламы хуйни для нейронки,,двач (online-video-cutter.com).mp4
"🔥РАСПРОДАЖА ROCKSTAR В STEAM🔥

В Steam началась распродажа игр от Rockstar Games! Все части GTA, Red Dead Redemption, Max Payne и другие!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, а так же сменить регион!",2024-03-20T23:50:22,Рекламы хуйни для нейронки,photos/photo_11@20-03-2024_23-50-22.jpg,
"🔥РАСПРОДАЖА ROCKSTAR В STEAM🔥

В Steam началась распродажа игр от Rockstar Games! Все части GTA, Red Dead Redemption, Max Payne и другие!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, а так же сменить регион!",2024-03-20T23:50:22,Рекламы хуйни для нейронки,photos/photo_11@20-03-2024_23-50-22.jpg,
"🔥КОМПЛЕКТ FNCS В ФОРТНАЙТ🔥

В магазине предметов появился ЭКСКЛЮЗИВНЫЙ ""Комплект мини-чемпионата по Fortnite""! В него входят скин, рюкзак, кирка и обёртка! 
После того как пропадёт из магазина предметов - он больше не появится!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:22,Рекламы хуйни для нейронки,photos/photo_13@20-03-2024_23-50-22.jpg,
"🔥РАСПРОДАЖА UBISOFT В STEAM🔥

В Steam началась распродажа игр от Ubisoft, не пропустите! Все части Assassin's Creed, Far Cry, Rainbow Six и другие!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, а так же сменить регион!",2024-03-20T23:50:22,Рекламы хуйни для нейронки,photos/photo_14@20-03-2024_23-50-22.jpg,
"🔥ЛЕДИ ГАГА В ФОРТНАЙТ🔥

Уже завтра, 22 февраля, стартует новый сезон фестиваля фортнайт! В нём главной звездой станет Леди Гага! 
Советуем ЗАРАНЕЕ закупиться в-баксами из-за возможного ажиотажа.

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_15@20-03-2024_23-50-23.jpg,
"🔥ЛЕДИ ГАГА В ФОРТНАЙТ🔥

Стартовал новый сезон фестиваля фортнайт, в котором появился новый пропуск со скином ""загадочная Леди Гага""! А также в магазине предметов появился комплект ""Леди Гага""!
Стоимость пропуска 1800 В-Баксов, стоимость комплекта 3000 В-Баксов.


С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_16@20-03-2024_23-50-23.jpg,
"🔥ПОПОЛНЕНИЕ STEAM С ПОМОЩЬЮ НАШЕГО БОТА🔥

Напоминаем, что с помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, сменить регион на Казахстан и Украину, а также купить чистый Казахстанский аккаунт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_17@20-03-2024_23-50-23.jpg,
"🔥AIRPHORIA В ФОРТНАЙТ🔥

В магазин предметов вернулся набор Airphoria! В него входят скины Эйри и Максимального Макса, а также два рюкзака!
Стоимость 1800 В-Баксов!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_18@20-03-2024_23-50-23.jpg,
"🔥ПОДПИСКА ОТРЯД ФОРТНАЙТ🔥

Сегодня последний день на февральский отряд фортнайт! Подписка - это самая выгодная покупка, ведь помимо скина, включая скин для LEGO, кирки и рюкзака вы получаете 1000 в-баксов, рокет пасс и боевой пропуск, а если он есть, то дополнительно 950 в-баксов!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_19@20-03-2024_23-50-23.jpg,
"🔥МАРТОВСКИЙ ОТРЯД ФОРТНАЙТ🔥

Уже вышла подписка на мартовский отряд фортнайт! Подписка - это самая выгодная покупка, ведь помимо скина, включая скин для LEGO, кирки и рюкзака вы получаете 1000 в-баксов, рокет пасс и боевой пропуск, а если он есть, то дополнительно 950 в-баксов!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_20@20-03-2024_23-50-23.jpg,
"🔥РАСПРОДАЖА В STEAM🔥

В Steam началась большая распродажа в честь 8 марта - скидки на игры до 80%, есть как приключения, аркады, головоломки, шутеры, новеллы, RPG и так далее! Акция продлится с 1 по 10 марта.

Напоминаем, что с помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, сменить регион на Казахстан и Украину, а также купить чистый Казахстанский аккаунт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_21@20-03-2024_23-50-23.jpg,
"🔥НОВЫЙ СЕЗОН В ФОРТНАЙТ🔥

Уже совсем скоро - 8 числа стартует новый сезон в Фортнайт! Ввиду того, что возможны очереди мы советуем закупиться В-Баксами заранее, чтобы ВЫ были готовы одними из первых получить новый Боевой Пропуск!

С помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО купить в-баксы/наборы/бп в Фортнайт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_22@20-03-2024_23-50-23.jpg,
"🔥ВТОРОЙ АКТ ВОСЬМОГО ЭПИЗОДА В VALORANT🔥

Вышел второй акт восьмого эпизода в Валорант! Новый боевой пропуск, где на последнем уровне Вы сможете получить «Меч Шеллспайра», а так же новые коллекции наклеек, карточки игроков, граффити и многое другое!
Также добавлен огненный набор «Первоначало», а через несколько дней будет анонс нового агента!

Напоминаем что в нашем боте вы можете приобрести ключи с Valorant Points для турецкого аккаунта, а также сам турецкий аккаунт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_23@20-03-2024_23-50-23.jpg,
"🔥ВЕСЕННЯЯ РАСПРОДАЖА В STEAM🔥

В Steam началась Весенняя распродажа! Долгожданную скидку получила Baldur's Gate III. Также по скидке можно купить Ready or Not, Resident Evil 4, Riders Republic, Naruto x Boruto: Ultimate Ninja Storm Connections, Street Fighter 6, Sea of Stars и многие другие игры! 
Акция продлится с 14 по 21 марта!

Напоминаем, что с помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, сменить регион на Казахстан и Украину, а также купить чистый Казахстанский аккаунт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_24@20-03-2024_23-50-23.jpg,
"🔥СМЕНА РЕГИОНА В ВАЛОРАНТ🔥

В нашем боте появилась возможность смены региона на Турцию, благодаря чему вам откроется возможность пополнять баланс и совершать внутриигровые покупки на своём аккаунте и не только!
Цена: 1999₽

Также в нашем боте вы можете приобрести ключи с Valorant Points для турецкого аккаунта, а также сам турецкий аккаунт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_25@20-03-2024_23-50-23.jpg,
"🔥ПОСЛЕДНИЙ ДЕНЬ РАСПРОДАЖИ🔥

Скоро в Steam закончится Весенняя распродажа и остается лишь 1 день чтобы успеть закупиться играми! 
Распродажа закончится 21 марта в 20:00 по Москве.

Долгожданную скидку получила Baldur's Gate III. Также по скидке можно купить Ready or Not, Resident Evil 4, Riders Republic, Naruto x Boruto: Ultimate Ninja Storm Connections, Street Fighter 6, Sea of Stars и многие другие игры! 

Напоминаем, что с помощью нашего бота вы можете БЫСТРО И БЕЗОПАСНО пополнить свой счет в Steam, сменить регион на Казахстан и Украину, а также купить чистый Казахстанский аккаунт!",2024-03-20T23:50:23,Рекламы хуйни для нейронки,photos/photo_26@20-03-2024_23-50-23.jpg,
"На носу 8 марта, а я приболел🤒 Надо поздравить маму с международным женским днём. (конечно же я не могу такое пропустить, иначе… мне 💀, шучу😃)
Благо мы живём с вами в современном и продвинутом мире, где есть такая возможность, как заказать цветы на дом. А с этим мне легко поможет Мегамаркет!
Там можно выбрать цветы на любой вкус и не только цветы, можно посмотреть прикольные подарки своим близким. Сейчас там еще и действует повышенный кешбэк до 70% бонусами СберСпасибо. Ими же можно оплатить до 99% от стоимости следующей покупки и заказать еще больше подарков близким. Оформить заказ можно очень удобно онлайн, а в Москве можно оформить экспресс - доставку прямо до двери вашим любимым.  От меня подарок - по промокоду МЕГАЦВЕТЫ вы получите дополнительную скидку 1000 рублей при первом заказе от 4 000 рублей. 
Дарите подарки любимым вместе с Мегамаркетом😎

Реклама. Рекламодатель ООО «Маркетплейс». ИНН: 9701048328. Erid: 2VfnxxapEhN",2024-03-20T23:51:01,Рекламы хуйни для нейронки,photos/photo_27@20-03-2024_23-51-01.jpg,
"URFU MEMES совместно с магазином и организатором тусовок MIUMIU запускает самый дорогой розыгрыш в истории паблика!

Ни один приз не оставит тебя равнодушным — ведь это брендовые футболки от магазина MIUMIU, сертификаты в различные заведения и наш фирменный мерч!

🥇 место — футболка Lacoste Big Logo
🥈 место — футболка Comme des Fuckdown
🥉 место — свитшот «ЙУХ»
4 место — сертификат в «Золотое яблоко»
5 место — сертификат в lounge bar «Момент»
6 место — сертификат в бар «Ахинея» 
7 место — сертификат в кальянную «Oasis lounge»
8-10 место — сертификат в автошколу «УралДрайв»

Для участия необходимо:
🔹Подписаться на URFU MEMES и MIUMIU
🔹Сделать репост этого поста трём друзьям (считаются репосты до подведения итогов)
🔹Быть студентом/выпускником УрФУ

Итоги подведем в первый день весны — 1 марта!

URFU MEMES

Победитель(-и): @kirsejye, @n_pashnin, @bmylaw, @sh_12sh, @jejbeeb, @sss_osov, @malinovbly, @Toursounov, @ny_ny03, @WKEKW",2024-03-20T23:51:20,Рекламы хуйни для нейронки,,video.mp4
"❗️Помните про наш мерч? У нас осталось несколько свитшотов и толстовок, поэтому мы решили запустить небольшую распродажу. 

Отдаём все по цене предзаказа:

🔹толстовка (размер XL) — 2 990 рублей
🔹свитшот (размеры M и XXL) — 2 590 рублей

Насчет покупки писать Жене Никоновой.

URFU MEMES",2024-03-20T23:51:20,Рекламы хуйни для нейронки,photos/photo_28@20-03-2024_23-51-20.jpg,
,2024-03-20T23:51:20,Рекламы хуйни для нейронки,photos/photo_29@20-03-2024_23-51-20.jpg,
"Хотите получить водительские права? Специально для читателей URFU MEMES мы договорились на специальные условия  в автошколе «УралДрайв»!

Сейчас обучение стоит 29 900 рублей, но по промокоду «URFU MEMES» вы можете отучиться на права категории «В» за:

🔹очный формат — 25 900 рублей 
🔹дистанционный формат — 24 900 рублей

Плюсы автошколы:
— Дистанционное обучение
— Есть рассрочка без процентов и банков
— Удобно совмещать с учёбой в УрФУ
— Собственный автопарк механика/автомат
— 30 часов практики вождения
— три офиса по всему городу

За подробной информацией позвони или напиши: 89126763011 или в ВК и TG.

URFU MEMES",2024-03-20T23:51:20,Рекламы хуйни для нейронки,photos/photo_30@20-03-2024_23-51-20.jpg,
"URFU MEMES совместно с магазином и организатором тусовок MIUMIU запускает свой второй конкурс!

В этот раз призы очень крутые — наушники от Apple, шапка и футболка от магазина MIUMIU и сертификаты в различные заведения!

🥇 место — наушники Airpods Pro 2
🥈 место — шапка Comme des Fuckdown
🥉 место — секретная футболка от MIUMIU
4 место — сертификат в lounge bar «Момент»
5 место — сертификат в бар «Кайфовошная» 
6 место — сертификат в кальянную «Oasis lounge»
7-10 место — сертификаты в автошколу «УралДрайв»

Для участия необходимо:
🔹Подписаться на URFU MEMES и MIUMIU
🔹Сделать репост этого поста трём друзьям (считаются репосты до подведения итогов)
🔹Быть студентом/выпускником УрФУ

Итоги подведем 1 апреля, всем удачи!",2024-03-20T23:51:20,Рекламы хуйни для нейронки,,video.mp4
"Все вы знаете, как мне нравится всё, что связанно с хоррор жанром.. 

Букмейт пришли ко мне и попросили рассказать про книгу из их библиотеки в данном жанре, которая меня зацепила! 

И такая действительно есть: «Нечетные Числа» от автора Джей Джей Марш

Это история про компанию шестерых университетских приятелей. Все они из разных стран да и, в целом, довольно разные. В один день, во время празднования Нового года происходит, казалось бы, несчастный случай — один из них погибает. Далее ребята продолжают постоянно встречаться по нечетным годам. И только через двадцать лет узнают страшную тайну...
Очень захватывающее герметичное расследование убийства с множественными POV… 👀
Особо интересно показано, как, казалось бы, близкие друзья могут много друг о друге не знать и не осознавать истинных лиц друг друга. Отдельно зашла аудиоверсия в Букмейте, которая собрала потрясающий состав актеров озвучки!

Книгу можно почитать и послушать в Букмейте (ссылка в слове), это подписной книжный сервис с доступом к более чем 200 000 электронных и аудиокниг, комиксам и детскому разделу! Плюс ко всему это просто очень удобная читалка: вы всегда можете настроить под себя фоны, шрифты или менять скорость воспроизведения, если вам больше нравится слушать.

Если у вас уже есть подписка Яндекс Плюс, то нужно просто подключить опцию Букмейт и скачать приложение. Если же подписки нет, то можно активировать промокод BROEN45 и получить 45 дней подписки Плюс с опцией Букмейт бесплатно: ссылка!

*Для новых пользователей из РФ. Срок активации до 29.02.2024",2024-03-20T23:51:23,Рекламы хуйни для нейронки,photos/photo_31@20-03-2024_23-51-23.jpg,
"Уникальный сервер для любых задач в Амстердаме за 2$ в месяц

1 Gb RAM / 1 core CPU / 10 Gb NVMe - 2$ в месяц 

https://www.vdsina.com/ru/pricing/standard/?partner=wk5mgi5yb6
- Уникальная фиксированная цена в долларах США, которая не будет меняться
- Компания зарегистрирована в Дубае
- Оплата с рублёвой карты, криптой, иностранной картой через Stripe
- Готовые шаблоны с Outline, WireGuard, IPsec
- Подключение к сети интернет — 10 Гбит/сек
- Доступны все популярные сайты, включая ChatGPT, Netflix, Dell, Intel

Почему я должен верить компании? VDSina работает с 2014 года и сейчас обслуживает более 40 000 серверов. Сомневаетесь? Вот чат в телеграме — задавайте вопросы другим пользователям: https://t.me/vdsina

#реклама",2024-03-20T23:53:39,Рекламы хуйни для нейронки,photos/photo_32@20-03-2024_23-53-39.jpg,
"Привет всем!

У нас есть замечательная традиция, которая связана с нашими стобалльниками. Мы всегда рады отмечать их достижения и дарить им памятные подарки. Если ты сдал ЕГЭ на сто баллов в этом году, то мы хотим поздравить тебя с этим великолепным результатом!

Но, если тебе до сих пор не удалось получить свой подарок, не беспокойся! Мы предлагаем тебе уточнить статус подарка в нашей группе чата поддержки. Там наши дружелюбные сотрудники ответят на все твои вопросы и помогут тебе получить заслуженное вознаграждение.

Спасибо, что ты с нами, и поздравляем еще раз! Мы гордимся твоими достижениями и надеемся, что наш подарок станет еще одним приятным воспоминанием о твоих успехах.

Всем хорошего настроения и продолжайте стремиться к новым вершинам!

Чат поддержки: https://t.me/umschoolhelp_bot",2024-03-20T23:53:43,Рекламы хуйни для нейронки,photos/photo_33@20-03-2024_23-53-43.jpg,
"Сдал ЕГЭ на высокие баллы? Хочешь начать карьеру и делиться опытом с будущими выпускниками?

Мы знаем, что тебя может заинтересовать 😎  
Онлайн-школа «Умскул» ищет кураторов по информатике! 

С нас — удаленная работа, стабильная оплата, возможность карьерного роста и молодой коллектив. С тебя — отклик на вакансию и желание работать с нами 🔥

Пиши кодовое ИНФОРМАТИКА в нашу группу (https://vk.com/hrumschool) и будем знакомиться!",2024-03-20T23:53:43,Рекламы хуйни для нейронки,,
